x,y,elevation,slope,aspect,plan_curvature,layer_0.50m,layer_0.75m,layer_1.00m,layer_1.25m,layer_1.50m,layer_2.00m,layer_2.50m,layer_3.00m,layer_3.50m,layer_4.00m,layer_4.50m,layer_5.00m
360778.4388765589,4308678.695092689,2992.5264,0.0,-0.0,0.0,,,,,,,,,,,,
360786.465834889,4308678.553734949,2991.0237,0.0,-0.0,0.0,,,,,,,,,,,,
360794.4927931427,4308678.412385361,2990.4768,0.0,-0.0,0.0,,,,,,,,,,,,
360802.5197513179,4308678.27104393,2990.2097,0.0,-0.0,0.0,,,,,,,,,,,,
360810.5467094169,4308678.129710656,2989.8862,0.0,-0.0,0.0,,,,,,,,,,,,
360818.57366743736,4308677.988385537,2989.5337,0.0,-0.0,0.0,,,,,,,,,,,,
360826.6006253804,4308677.847068572,2989.1633,0.0,-0.0,0.0,,,,,,,,,,,,
360834.6275832461,4308677.705759765,2988.615,0.0,-0.0,0.0,,,,,,,,,,,,
360842.65454103664,4308677.564459111,2987.74,0.0,-0.0,0.0,,,,,,,,,,,,
360850.68149874767,4308677.423166613,2986.7285,0.0,-0.0,0.0,,,,,,,,,,,,
360858.7084563812,4308677.281882272,2985.8032,0.0,-0.0,0.0,,,,,,,,,,,,
360866.7354139374,4308677.140606086,2985.0364,0.0,-0.0,0.0,,,,,,,,,,,,
360874.7623714174,4308676.999338055,2984.4097,0.0,-0.0,0.0,,,,,,,,,,,,
360882.78932881897,4308676.85807818,2983.8691,0.0,-0.0,0.0,,,,,,,,,,,,
360890.8162861432,4308676.71682646,2983.24,0.0,-0.0,0.0,,,,,,,,,,,,
360898.8432433912,4308676.575582896,2982.4001,0.0,-0.0,0.0,,,,,,,,,,,,
360906.87020056177,4308676.434347487,2981.1724,0.0,-0.0,0.0,,,,,,,,,,,,
360914.89715765393,4308676.293120234,2979.4766,0.0,-0.0,0.0,,,,,,,,,,,,
360922.9241146688,4308676.151901137,2977.6062,0.0,-0.0,0.0,,,,,,,,,,,,
360930.9510716063,4308676.010690196,2975.7422,0.0,-0.0,0.0,,,,,,,,,,,,
360938.9780284676,4308675.8694874095,2973.9097,0.0,-0.0,0.0,,,,,,,,,,,,
360947.0049852516,4308675.728292778,2972.0757,0.0,-0.0,0.0,,,,,,,,,,,,
360955.0319419572,4308675.587106303,2970.265,0.0,-0.0,0.0,,,,,,,,,,,,
360963.05889858544,4308675.445927983,2968.6162,0.0,-0.0,0.0,,,,,,,,,,,,
360971.0858551376,4308675.30475782,2967.193,0.0,-0.0,0.0,,,,,,,,,,,,
360979.11281161127,4308675.163595811,2965.9497,0.0,-0.0,0.0,,,,,,,,,,,,
360987.1397680076,4308675.022441958,2964.9973,0.0,-0.0,0.0,,,,,,,,,,,,
360995.1667243267,4308674.88129626,2964.475,0.0,-0.0,0.0,,,,,,,,,,,,
361003.1936805707,4308674.740158719,2964.2422,0.0,-0.0,0.0,,,,,,,,,,,,
361011.2206367352,4308674.599029332,2964.228,0.0,-0.0,0.0,,,,,,,,,,,,
361019.2475928225,4308674.457908101,2964.266,0.0,-0.0,0.0,,,,,,,,,,,,
361027.2745488325,4308674.316795026,2964.246,0.0,-0.0,0.0,,,,,,,,,,,,
361035.3015047664,4308674.175690106,2964.1824,0.0,-0.0,0.0,,,,,,,,,,,,
361043.32846062176,4308674.034593343,2964.099,0.0,-0.0,0.0,,,,,,,,,,,,
361051.3554164012,4308673.893504733,2964.01,0.0,-0.0,0.0,,,,,,,,,,,,
361059.38237210206,4308673.75242428,2963.9297,0.0,-0.0,0.0,,,,,,,,,,,,
361067.4093277269,4308673.611351983,2963.8596,0.0,-0.0,0.0,,,,,,,,,,,,
361075.4362832734,4308673.470287841,2963.7898,0.0,-0.0,0.0,,,,,,,,,,,,
361083.46323874255,4308673.329231855,2963.7205,0.0,-0.0,0.0,,,,,,,,,,,,
361091.4901941346,4308673.188184023,2963.6536,0.0,-0.0,0.0,,,,,,,,,,,,
361099.51714945154,4308673.047144348,2963.5867,0.0,-0.0,0.0,,,,,,,,,,,,
361107.5441046891,4308672.906112826,2963.509,0.0,-0.0,0.0,,,,,,,,,,,,
361115.57105984935,4308672.765089463,2963.4138,0.0,-0.0,0.0,,,,,,,,,,,,
361123.5980149325,4308672.624074253,2963.3037,0.0,-0.0,0.0,,,,,,,,,,,,
361131.62496993947,4308672.4830672005,2963.178,0.0,-0.0,0.0,,,,,,,,,,,,
361139.6519248681,4308672.342068303,2963.0479,0.0,-0.0,0.0,,,,,,,,,,,,
361147.6788797197,4308672.20107756,2962.9312,0.0,-0.0,0.0,,,,,,,,,,,,
361155.705834495,4308672.060094973,2962.823,0.0,-0.0,0.0,,,,,,,,,,,,
361163.7327891932,4308671.919120543,2962.703,0.0,-0.0,0.0,,,,,,,,,,,,
361171.7597438131,4308671.778154266,2962.5942,0.0,-0.0,0.0,,,,,,,,,,,,
361179.7866983558,4308671.637196146,2962.498,0.0,-0.0,0.0,,,,,,,,,,,,
361187.81365282135,4308671.4962461805,2962.3987,0.0,-0.0,0.0,,,,,,,,,,,,
